#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-07-03T10:07:30 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5d1c7e3023be0 
#INFO -out.max=unlimited 
#INFO queryParameters=16 
#-oc.form=sexa
#-out.max=unlimited
#-order=I
#-out.src=J/ApJ/813/47/map_list
#-nav=cat:J/ApJ/813/47&tab:{J/ApJ/813/47/map_list}&key:source=J/ApJ/813/47/map_list&HTTPPRM:&&-ref=VIZ5d1c7e3023be0&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=Model&-out=Teff&-out=log(g)&-out=[Fe/H]&-out=C/O&-out=SpType&-out=pt&-ignore=pt=*&pt=pt&-out=ab&ab=ab&-out=sp&sp=sp&-out=Flags&-file=.&-meta.ucd=0&-meta=0&-usenav=1&-bmark=POST&-out.src=J/ApJ/813/47/map_list
#-source=J/ApJ/813/47/map_list
#-out=Model
#-out=Teff
#-out=log(g)
#-out=[Fe/H]
#-out=C/O
#-out=SpType
#-out=pt
#-out=ab
#-out=sp
#-out=Flags
#
#
#RESOURCE=yCat_18130047
#Name: J/ApJ/813/47
#Title: Model atmospheres of irradiated exoplanets (Molliere+, 2015)
#Table J_ApJ_813_47_map_list:
#Name: J/ApJ/813/47/map_list
#Title: File for mapping the model number to the planetary log(g), [Fe/H], C/O, Teff and the host star spectral type and the model flags
#---Details of Columns:
#    Model            (A5)    [1/10640] Model ID [ucd=meta.id;stat.param;meta.modelled]
#    Teff (K)         (I4)    Effective temperature [ucd=phys.temperature.effective]
#    log(g) ([cm/s2]) (F4.1)  Gravitional acceleration [ucd=phys.gravity]
#    [Fe/H]           (F4.1)  Planetary metallicity [ucd=phys.abund.Z]
#    C/O              (F5.2)  Carbon-to-oxygen number ratio [ucd=phys.abund]
#    SpType           (A2)    Spectral type of host star [ucd=src.spType]
#    pt               (A2)    Display the Atmospheric structure file [ucd=meta.ref.url]
#    ab               (A2)    Display the Atmospheric abundances file [ucd=meta.ref.url]
#    sp               (A2)    Show the spectrum [ucd=meta.ref.url]
#    Flags            (a50)   Model flags (1) [ucd=meta.code.error]
#---- ---- ---- ---- ----- -- -- -- -- --------------------------------------------------
#           log(                                                                          
#           g) (            Sp                                                            
#      Teff [cm/ [F         Ty                                                            
#Model (K)  s2]) e/H] C/O   pe pt ab sp Flags                                             
#----- ---- ---- ---- ----- -- -- -- -- --------------------------------------------------
03031 1000  5.0  2.0  0.91 G5 pt ab sp _neqc
03032 1000  5.0  2.0  0.92 G5 pt ab sp _neqc
03033 1000  5.0  2.0  0.93 G5 pt ab sp _neqc
03034 1000  5.0  2.0  0.94 G5 pt ab sp _neqc
03035 1000  5.0  2.0  0.95 G5 pt ab sp _neqc
03036 1000  5.0  2.0  0.90 G5 pt ab sp _neqc
03037 1000  5.0  2.0  1.05 G5 pt ab sp _neqc
03038 1000  5.0  2.0  1.00 G5 pt ab sp _neqc
03039 1000  5.0  2.0  1.12 G5 pt ab sp _neqc
03040 1000  5.0  2.0  1.40 G5 pt ab sp _neqc
03041 1250  2.3 -0.5  0.35 G5 pt ab sp _neqc
03042 1250  2.3 -0.5  0.55 G5 pt ab sp _neqc
03043 1250  2.3 -0.5  0.71 G5 pt ab sp _neqc
03044 1250  2.3 -0.5  0.72 G5 pt ab sp _neqc
03045 1250  2.3 -0.5  0.73 G5 pt ab sp _neqc
03046 1250  2.3 -0.5  0.74 G5 pt ab sp _neqc
03047 1250  2.3 -0.5  0.75 G5 pt ab sp _neqc
03048 1250  2.3 -0.5  0.70 G5 pt ab sp _neqc
03049 1250  2.3 -0.5  0.85 G5 pt ab sp _neqc
03050 1250  2.3 -0.5  0.91 G5 pt ab sp _neqc
03051 1250  2.3 -0.5  0.92 G5 pt ab sp _neqc
03052 1250  2.3 -0.5  0.93 G5 pt ab sp _neqc
03053 1250  2.3 -0.5  0.94 G5 pt ab sp _neqc
03054 1250  2.3 -0.5  0.95 G5 pt ab sp _neqc
03055 1250  2.3 -0.5  0.90 G5 pt ab sp _neqc
03056 1250  2.3 -0.5  1.05 G5 pt ab sp _neqc
03057 1250  2.3 -0.5  1.00 G5 pt ab sp _neqc
03058 1250  2.3 -0.5  1.12 G5 pt ab sp _neqc
03059 1250  2.3 -0.5  1.40 G5 pt ab sp _neqc
03060 1250  2.3  0.0  0.35 G5 pt ab sp _neqc
03061 1250  2.3  0.0  0.55 G5 pt ab sp _neqc
03062 1250  2.3  0.0  0.71 G5 pt ab sp _neqc
03063 1250  2.3  0.0  0.72 G5 pt ab sp _neqc
03064 1250  2.3  0.0  0.73 G5 pt ab sp _neqc
03065 1250  2.3  0.0  0.74 G5 pt ab sp _neqc
03066 1250  2.3  0.0  0.75 G5 pt ab sp _neqc
03067 1250  2.3  0.0  0.70 G5 pt ab sp _neqc
03068 1250  2.3  0.0  0.85 G5 pt ab sp _neqc
03069 1250  2.3  0.0  0.91 G5 pt ab sp _neqc
03070 1250  2.3  0.0  0.92 G5 pt ab sp _neqc
03071 1250  2.3  0.0  0.93 G5 pt ab sp _neqc
03072 1250  2.3  0.0  0.94 G5 pt ab sp _neqc
03073 1250  2.3  0.0  0.95 G5 pt ab sp _neqc
03074 1250  2.3  0.0  0.90 G5 pt ab sp _neqc
03075 1250  2.3  0.0  1.05 G5 pt ab sp _neqc
03076 1250  2.3  0.0  1.00 G5 pt ab sp _neqc
03077 1250  2.3  0.0  1.12 G5 pt ab sp _neqc
03078 1250  2.3  0.0  1.40 G5 pt ab sp _neqc
03079 1250  2.3  0.5  0.35 G5 pt ab sp _neqc
03080 1250  2.3  0.5  0.55 G5 pt ab sp _neqc
03081 1250  2.3  0.5  0.71 G5 pt ab sp _neqc
03082 1250  2.3  0.5  0.72 G5 pt ab sp _neqc
03083 1250  2.3  0.5  0.73 G5 pt ab sp _neqc
03084 1250  2.3  0.5  0.74 G5 pt ab sp _neqc
03085 1250  2.3  0.5  0.75 G5 pt ab sp _neqc
03086 1250  2.3  0.5  0.70 G5 pt ab sp _neqc
03087 1250  2.3  0.5  0.85 G5 pt ab sp _neqc
03088 1250  2.3  0.5  0.91 G5 pt ab sp _neqc
03089 1250  2.3  0.5  0.92 G5 pt ab sp _neqc
03090 1250  2.3  0.5  0.93 G5 pt ab sp _neqc
03091 1250  2.3  0.5  0.94 G5 pt ab sp _neqc
03092 1250  2.3  0.5  0.95 G5 pt ab sp _neqc
03093 1250  2.3  0.5  0.90 G5 pt ab sp _neqc
03094 1250  2.3  0.5  1.05 G5 pt ab sp _neqc
03095 1250  2.3  0.5  1.00 G5 pt ab sp _neqc
03096 1250  2.3  0.5  1.12 G5 pt ab sp _neqc
03097 1250  2.3  0.5  1.40 G5 pt ab sp _neqc
03098 1250  2.3  1.0  0.35 G5 pt ab sp _neqc
03099 1250  2.3  1.0  0.55 G5 pt ab sp _neqc
03100 1250  2.3  1.0  0.71 G5 pt ab sp _neqc
03101 1250  2.3  1.0  0.72 G5 pt ab sp _neqc
03102 1250  2.3  1.0  0.73 G5 pt ab sp _neqc
03103 1250  2.3  1.0  0.74 G5 pt ab sp _neqc
03104 1250  2.3  1.0  0.75 G5 pt ab sp _neqc
03105 1250  2.3  1.0  0.70 G5 pt ab sp _neqc
03106 1250  2.3  1.0  0.85 G5 pt ab sp _neqc
03107 1250  2.3  1.0  0.91 G5 pt ab sp _neqc
03108 1250  2.3  1.0  0.92 G5 pt ab sp _neqc
03109 1250  2.3  1.0  0.93 G5 pt ab sp _neqc
03110 1250  2.3  1.0  0.94 G5 pt ab sp _neqc
03111 1250  2.3  1.0  0.95 G5 pt ab sp _neqc
03112 1250  2.3  1.0  0.90 G5 pt ab sp _neqc
03113 1250  2.3  1.0  1.05 G5 pt ab sp _neqc
03114 1250  2.3  1.0  1.00 G5 pt ab sp _neqc
03115 1250  2.3  1.0  1.12 G5 pt ab sp _neqc
03116 1250  2.3  1.0  1.40 G5 pt ab sp _neqc
03117 1250  2.3  2.0  0.35 G5 pt ab sp _neqc
03118 1250  2.3  2.0  0.55 G5 pt ab sp _neqc
03119 1250  2.3  2.0  0.71 G5 pt ab sp _neqc
03120 1250  2.3  2.0  0.72 G5 pt ab sp _neqc
03121 1250  2.3  2.0  0.73 G5 pt ab sp _neqc
03122 1250  2.3  2.0  0.74 G5 pt ab sp _neqc
03123 1250  2.3  2.0  0.75 G5 pt ab sp _neqc
03124 1250  2.3  2.0  0.70 G5 pt ab sp _neqc
03125 1250  2.3  2.0  0.85 G5 pt ab sp _neqc
03126 1250  2.3  2.0  0.91 G5 pt ab sp _neqc
03127 1250  2.3  2.0  0.92 G5 pt ab sp _neqc
03128 1250  2.3  2.0  0.93 G5 pt ab sp _neqc
03129 1250  2.3  2.0  0.94 G5 pt ab sp _neqc
03130 1250  2.3  2.0  0.95 G5 pt ab sp _neqc
03131 1250  2.3  2.0  0.90 G5 pt ab sp _neqc
03132 1250  2.3  2.0  1.05 G5 pt ab sp _neqc
03133 1250  2.3  2.0  1.00 G5 pt ab sp _neqc
03134 1250  2.3  2.0  1.12 G5 pt ab sp _neqc
03135 1250  2.3  2.0  1.40 G5 pt ab sp _neqc
03136 1250  3.0 -0.5  0.35 G5 pt ab sp _neqc
03137 1250  3.0 -0.5  0.55 G5 pt ab sp _neqc
03138 1250  3.0 -0.5  0.71 G5 pt ab sp _neqc
03139 1250  3.0 -0.5  0.72 G5 pt ab sp _neqc
03140 1250  3.0 -0.5  0.73 G5 pt ab sp _neqc
03141 1250  3.0 -0.5  0.74 G5 pt ab sp _neqc
03142 1250  3.0 -0.5  0.75 G5 pt ab sp _neqc
03143 1250  3.0 -0.5  0.70 G5 pt ab sp _neqc
03144 1250  3.0 -0.5  0.85 G5 pt ab sp _neqc
03145 1250  3.0 -0.5  0.91 G5 pt ab sp _neqc
03146 1250  3.0 -0.5  0.92 G5 pt ab sp _neqc
03147 1250  3.0 -0.5  0.93 G5 pt ab sp _neqc
03148 1250  3.0 -0.5  0.94 G5 pt ab sp _neqc
03149 1250  3.0 -0.5  0.95 G5 pt ab sp _neqc
03150 1250  3.0 -0.5  0.90 G5 pt ab sp _neqc
03151 1250  3.0 -0.5  1.05 G5 pt ab sp _neqc
03152 1250  3.0 -0.5  1.00 G5 pt ab sp _neqc
03153 1250  3.0 -0.5  1.12 G5 pt ab sp _neqc
03154 1250  3.0 -0.5  1.40 G5 pt ab sp _neqc
03155 1250  3.0  0.0  0.35 G5 pt ab sp _neqc
03156 1250  3.0  0.0  0.55 G5 pt ab sp _neqc
03157 1250  3.0  0.0  0.71 G5 pt ab sp _neqc
03158 1250  3.0  0.0  0.72 G5 pt ab sp _neqc
03159 1250  3.0  0.0  0.73 G5 pt ab sp _neqc
03160 1250  3.0  0.0  0.74 G5 pt ab sp _neqc
03161 1250  3.0  0.0  0.75 G5 pt ab sp _neqc
03162 1250  3.0  0.0  0.70 G5 pt ab sp _neqc
03163 1250  3.0  0.0  0.85 G5 pt ab sp _neqc
03164 1250  3.0  0.0  0.91 G5 pt ab sp _neqc
03165 1250  3.0  0.0  0.92 G5 pt ab sp _neqc
03166 1250  3.0  0.0  0.93 G5 pt ab sp _neqc
03167 1250  3.0  0.0  0.94 G5 pt ab sp _neqc
03168 1250  3.0  0.0  0.95 G5 pt ab sp _neqc
03169 1250  3.0  0.0  0.90 G5 pt ab sp _neqc
03170 1250  3.0  0.0  1.05 G5 pt ab sp _neqc
03171 1250  3.0  0.0  1.00 G5 pt ab sp _neqc
03172 1250  3.0  0.0  1.12 G5 pt ab sp _neqc
03173 1250  3.0  0.0  1.40 G5 pt ab sp _neqc
03174 1250  3.0  0.5  0.35 G5 pt ab sp _neqc
03175 1250  3.0  0.5  0.55 G5 pt ab sp _neqc
03176 1250  3.0  0.5  0.71 G5 pt ab sp _neqc
03177 1250  3.0  0.5  0.72 G5 pt ab sp _neqc
03178 1250  3.0  0.5  0.73 G5 pt ab sp _neqc
03179 1250  3.0  0.5  0.74 G5 pt ab sp _neqc
03180 1250  3.0  0.5  0.75 G5 pt ab sp _neqc
03181 1250  3.0  0.5  0.70 G5 pt ab sp _neqc
03182 1250  3.0  0.5  0.85 G5 pt ab sp _neqc
03183 1250  3.0  0.5  0.91 G5 pt ab sp _neqc
03184 1250  3.0  0.5  0.92 G5 pt ab sp _neqc
03185 1250  3.0  0.5  0.93 G5 pt ab sp _neqc
03186 1250  3.0  0.5  0.94 G5 pt ab sp _neqc
03187 1250  3.0  0.5  0.95 G5 pt ab sp _neqc
03188 1250  3.0  0.5  0.90 G5 pt ab sp _neqc
03189 1250  3.0  0.5  1.05 G5 pt ab sp _neqc
03190 1250  3.0  0.5  1.00 G5 pt ab sp _neqc
03191 1250  3.0  0.5  1.12 G5 pt ab sp _neqc
03192 1250  3.0  0.5  1.40 G5 pt ab sp _neqc
03193 1250  3.0  1.0  0.35 G5 pt ab sp _neqc
03194 1250  3.0  1.0  0.55 G5 pt ab sp _neqc
03195 1250  3.0  1.0  0.71 G5 pt ab sp _neqc
03196 1250  3.0  1.0  0.72 G5 pt ab sp _neqc
03197 1250  3.0  1.0  0.73 G5 pt ab sp _neqc
03198 1250  3.0  1.0  0.74 G5 pt ab sp _neqc
03199 1250  3.0  1.0  0.75 G5 pt ab sp _neqc
03200 1250  3.0  1.0  0.70 G5 pt ab sp _neqc
03201 1250  3.0  1.0  0.85 G5 pt ab sp _neqc
03202 1250  3.0  1.0  0.91 G5 pt ab sp _neqc
03203 1250  3.0  1.0  0.92 G5 pt ab sp _neqc
03204 1250  3.0  1.0  0.93 G5 pt ab sp _neqc
03205 1250  3.0  1.0  0.94 G5 pt ab sp _neqc
03206 1250  3.0  1.0  0.95 G5 pt ab sp _neqc
03207 1250  3.0  1.0  0.90 G5 pt ab sp _neqc
03208 1250  3.0  1.0  1.05 G5 pt ab sp _neqc
03209 1250  3.0  1.0  1.00 G5 pt ab sp _neqc
03210 1250  3.0  1.0  1.12 G5 pt ab sp _neqc
03211 1250  3.0  1.0  1.40 G5 pt ab sp _neqc
03212 1250  3.0  2.0  0.35 G5 pt ab sp _neqc
03213 1250  3.0  2.0  0.55 G5 pt ab sp _neqc
03214 1250  3.0  2.0  0.71 G5 pt ab sp _neqc
03215 1250  3.0  2.0  0.72 G5 pt ab sp _neqc
03216 1250  3.0  2.0  0.73 G5 pt ab sp _neqc
03217 1250  3.0  2.0  0.74 G5 pt ab sp _neqc
03218 1250  3.0  2.0  0.75 G5 pt ab sp _neqc
03219 1250  3.0  2.0  0.70 G5 pt ab sp _neqc
03220 1250  3.0  2.0  0.85 G5 pt ab sp _neqc
03221 1250  3.0  2.0  0.91 G5 pt ab sp _neqc
03222 1250  3.0  2.0  0.92 G5 pt ab sp _neqc
03223 1250  3.0  2.0  0.93 G5 pt ab sp _neqc
03224 1250  3.0  2.0  0.94 G5 pt ab sp _neqc
03225 1250  3.0  2.0  0.95 G5 pt ab sp _neqc
03226 1250  3.0  2.0  0.90 G5 pt ab sp _neqc
03227 1250  3.0  2.0  1.05 G5 pt ab sp _neqc
03228 1250  3.0  2.0  1.00 G5 pt ab sp _neqc
03229 1250  3.0  2.0  1.12 G5 pt ab sp _neqc
03230 1250  3.0  2.0  1.40 G5 pt ab sp _neqc
03231 1250  4.0 -0.5  0.35 G5 pt ab sp _neqc
03232 1250  4.0 -0.5  0.55 G5 pt ab sp _neqc
03233 1250  4.0 -0.5  0.71 G5 pt ab sp _neqc
03234 1250  4.0 -0.5  0.72 G5 pt ab sp _neqc
03235 1250  4.0 -0.5  0.73 G5 pt ab sp _neqc
03236 1250  4.0 -0.5  0.74 G5 pt ab sp _neqc
03237 1250  4.0 -0.5  0.75 G5 pt ab sp _neqc
03238 1250  4.0 -0.5  0.70 G5 pt ab sp _neqc
03239 1250  4.0 -0.5  0.85 G5 pt ab sp _neqc
03240 1250  4.0 -0.5  0.91 G5 pt ab sp _neqc
03241 1250  4.0 -0.5  0.92 G5 pt ab sp _neqc
03242 1250  4.0 -0.5  0.93 G5 pt ab sp _neqc
03243 1250  4.0 -0.5  0.94 G5 pt ab sp _neqc
03244 1250  4.0 -0.5  0.95 G5 pt ab sp _neqc
03245 1250  4.0 -0.5  0.90 G5 pt ab sp _neqc
03246 1250  4.0 -0.5  1.05 G5 pt ab sp _neqc
03247 1250  4.0 -0.5  1.00 G5 pt ab sp _neqc
03248 1250  4.0 -0.5  1.12 G5 pt ab sp _neqc
03249 1250  4.0 -0.5  1.40 G5 pt ab sp _neqc
03250 1250  4.0  0.0  0.35 G5 pt ab sp _neqc
03251 1250  4.0  0.0  0.55 G5 pt ab sp _neqc
03252 1250  4.0  0.0  0.71 G5 pt ab sp _neqc
03253 1250  4.0  0.0  0.72 G5 pt ab sp _neqc
03254 1250  4.0  0.0  0.73 G5 pt ab sp _neqc
03255 1250  4.0  0.0  0.74 G5 pt ab sp _neqc
03256 1250  4.0  0.0  0.75 G5 pt ab sp _neqc
03257 1250  4.0  0.0  0.70 G5 pt ab sp _neqc
03258 1250  4.0  0.0  0.85 G5 pt ab sp _neqc
03259 1250  4.0  0.0  0.91 G5 pt ab sp _neqc
03260 1250  4.0  0.0  0.92 G5 pt ab sp _neqc
03261 1250  4.0  0.0  0.93 G5 pt ab sp _neqc
03262 1250  4.0  0.0  0.94 G5 pt ab sp _neqc
03263 1250  4.0  0.0  0.95 G5 pt ab sp _neqc
03264 1250  4.0  0.0  0.90 G5 pt ab sp _neqc
03265 1250  4.0  0.0  1.05 G5 pt ab sp _neqc
03266 1250  4.0  0.0  1.00 G5 pt ab sp _neqc
03267 1250  4.0  0.0  1.12 G5 pt ab sp _neqc
03268 1250  4.0  0.0  1.40 G5 pt ab sp _neqc
03269 1250  4.0  0.5  0.35 G5 pt ab sp _neqc
03270 1250  4.0  0.5  0.55 G5 pt ab sp _neqc
03271 1250  4.0  0.5  0.71 G5 pt ab sp _neqc
03272 1250  4.0  0.5  0.72 G5 pt ab sp _neqc
03273 1250  4.0  0.5  0.73 G5 pt ab sp _neqc
03274 1250  4.0  0.5  0.74 G5 pt ab sp _neqc
03275 1250  4.0  0.5  0.75 G5 pt ab sp _neqc
03276 1250  4.0  0.5  0.70 G5 pt ab sp _neqc
03277 1250  4.0  0.5  0.85 G5 pt ab sp _neqc
03278 1250  4.0  0.5  0.91 G5 pt ab sp _neqc
03279 1250  4.0  0.5  0.92 G5 pt ab sp _neqc
03280 1250  4.0  0.5  0.93 G5 pt ab sp _neqc
03281 1250  4.0  0.5  0.94 G5 pt ab sp _neqc
03282 1250  4.0  0.5  0.95 G5 pt ab sp _neqc
03283 1250  4.0  0.5  0.90 G5 pt ab sp _neqc
03284 1250  4.0  0.5  1.05 G5 pt ab sp _neqc
03285 1250  4.0  0.5  1.00 G5 pt ab sp _neqc
03286 1250  4.0  0.5  1.12 G5 pt ab sp _neqc
03287 1250  4.0  0.5  1.40 G5 pt ab sp _neqc
03288 1250  4.0  1.0  0.35 G5 pt ab sp _neqc
03289 1250  4.0  1.0  0.55 G5 pt ab sp _neqc
03290 1250  4.0  1.0  0.71 G5 pt ab sp _neqc
03291 1250  4.0  1.0  0.72 G5 pt ab sp _neqc
03292 1250  4.0  1.0  0.73 G5 pt ab sp _neqc
03293 1250  4.0  1.0  0.74 G5 pt ab sp _neqc
03294 1250  4.0  1.0  0.75 G5 pt ab sp _neqc
03295 1250  4.0  1.0  0.70 G5 pt ab sp _neqc
03296 1250  4.0  1.0  0.85 G5 pt ab sp _neqc
03297 1250  4.0  1.0  0.91 G5 pt ab sp _neqc
03298 1250  4.0  1.0  0.92 G5 pt ab sp _neqc
03299 1250  4.0  1.0  0.93 G5 pt ab sp _neqc
03300 1250  4.0  1.0  0.94 G5 pt ab sp _neqc
03301 1250  4.0  1.0  0.95 G5 pt ab sp _neqc
03302 1250  4.0  1.0  0.90 G5 pt ab sp _neqc
03303 1250  4.0  1.0  1.05 G5 pt ab sp _neqc
03304 1250  4.0  1.0  1.00 G5 pt ab sp _neqc
03305 1250  4.0  1.0  1.12 G5 pt ab sp _neqc
03306 1250  4.0  1.0  1.40 G5 pt ab sp _neqc
03307 1250  4.0  2.0  0.35 G5 pt ab sp _neqc
03308 1250  4.0  2.0  0.55 G5 pt ab sp _neqc
03309 1250  4.0  2.0  0.71 G5 pt ab sp _neqc
03310 1250  4.0  2.0  0.72 G5 pt ab sp _neqc
03311 1250  4.0  2.0  0.73 G5 pt ab sp _neqc
03312 1250  4.0  2.0  0.74 G5 pt ab sp _neqc
03313 1250  4.0  2.0  0.75 G5 pt ab sp _neqc
03314 1250  4.0  2.0  0.70 G5 pt ab sp _neqc
03315 1250  4.0  2.0  0.85 G5 pt ab sp _neqc
03316 1250  4.0  2.0  0.91 G5 pt ab sp _neqc
03317 1250  4.0  2.0  0.92 G5 pt ab sp _neqc
03318 1250  4.0  2.0  0.93 G5 pt ab sp _neqc
03319 1250  4.0  2.0  0.94 G5 pt ab sp _neqc
03320 1250  4.0  2.0  0.95 G5 pt ab sp _neqc
03321 1250  4.0  2.0  0.90 G5 pt ab sp _neqc
03322 1250  4.0  2.0  1.05 G5 pt ab sp _neqc
03323 1250  4.0  2.0  1.00 G5 pt ab sp _neqc
03324 1250  4.0  2.0  1.12 G5 pt ab sp _neqc
03325 1250  4.0  2.0  1.40 G5 pt ab sp _neqc
03326 1250  5.0 -0.5  0.35 G5 pt ab sp _neqc
03327 1250  5.0 -0.5  0.55 G5 pt ab sp _neqc
03328 1250  5.0 -0.5  0.71 G5 pt ab sp _neqc
03329 1250  5.0 -0.5  0.72 G5 pt ab sp _neqc
03330 1250  5.0 -0.5  0.73 G5 pt ab sp _neqc
03331 1250  5.0 -0.5  0.74 G5 pt ab sp _neqc
03332 1250  5.0 -0.5  0.75 G5 pt ab sp _neqc
03333 1250  5.0 -0.5  0.70 G5 pt ab sp _neqc
03334 1250  5.0 -0.5  0.85 G5 pt ab sp _neqc
03335 1250  5.0 -0.5  0.91 G5 pt ab sp _neqc
03336 1250  5.0 -0.5  0.92 G5 pt ab sp _neqc
03337 1250  5.0 -0.5  0.93 G5 pt ab sp _neqc
03338 1250  5.0 -0.5  0.94 G5 pt ab sp _neqc
03339 1250  5.0 -0.5  0.95 G5 pt ab sp _neqc
03340 1250  5.0 -0.5  0.90 G5 pt ab sp _neqc
03341 1250  5.0 -0.5  1.05 G5 pt ab sp _neqc
03342 1250  5.0 -0.5  1.00 G5 pt ab sp _neqc
03343 1250  5.0 -0.5  1.12 G5 pt ab sp _neqc
03344 1250  5.0 -0.5  1.40 G5 pt ab sp _neqc
03345 1250  5.0  0.0  0.35 G5 pt ab sp _neqc
03346 1250  5.0  0.0  0.55 G5 pt ab sp _neqc
03347 1250  5.0  0.0  0.71 G5 pt ab sp _neqc
03348 1250  5.0  0.0  0.72 G5 pt ab sp _neqc
03349 1250  5.0  0.0  0.73 G5 pt ab sp _neqc
03350 1250  5.0  0.0  0.74 G5 pt ab sp _neqc
03351 1250  5.0  0.0  0.75 G5 pt ab sp _neqc
03352 1250  5.0  0.0  0.70 G5 pt ab sp _neqc
03353 1250  5.0  0.0  0.85 G5 pt ab sp _neqc
03354 1250  5.0  0.0  0.91 G5 pt ab sp _neqc
03355 1250  5.0  0.0  0.92 G5 pt ab sp _neqc
03356 1250  5.0  0.0  0.93 G5 pt ab sp _neqc
03357 1250  5.0  0.0  0.94 G5 pt ab sp _neqc
03358 1250  5.0  0.0  0.95 G5 pt ab sp _neqc
03359 1250  5.0  0.0  0.90 G5 pt ab sp _neqc
03360 1250  5.0  0.0  1.05 G5 pt ab sp _neqc
03361 1250  5.0  0.0  1.00 G5 pt ab sp _neqc
03362 1250  5.0  0.0  1.12 G5 pt ab sp _neqc
03363 1250  5.0  0.0  1.40 G5 pt ab sp _neqc
03364 1250  5.0  0.5  0.35 G5 pt ab sp _neqc
03365 1250  5.0  0.5  0.55 G5 pt ab sp _neqc
03366 1250  5.0  0.5  0.71 G5 pt ab sp _neqc
03367 1250  5.0  0.5  0.72 G5 pt ab sp _neqc
03368 1250  5.0  0.5  0.73 G5 pt ab sp _neqc
03369 1250  5.0  0.5  0.74 G5 pt ab sp _neqc
03370 1250  5.0  0.5  0.75 G5 pt ab sp _neqc
03371 1250  5.0  0.5  0.70 G5 pt ab sp _neqc
03372 1250  5.0  0.5  0.85 G5 pt ab sp _neqc
03373 1250  5.0  0.5  0.91 G5 pt ab sp _neqc
03374 1250  5.0  0.5  0.92 G5 pt ab sp _neqc
03375 1250  5.0  0.5  0.93 G5 pt ab sp _neqc
03376 1250  5.0  0.5  0.94 G5 pt ab sp _neqc
03377 1250  5.0  0.5  0.95 G5 pt ab sp _neqc
03378 1250  5.0  0.5  0.90 G5 pt ab sp _neqc
03379 1250  5.0  0.5  1.05 G5 pt ab sp _neqc
03380 1250  5.0  0.5  1.00 G5 pt ab sp _neqc
03381 1250  5.0  0.5  1.12 G5 pt ab sp _neqc
03382 1250  5.0  0.5  1.40 G5 pt ab sp _neqc
03383 1250  5.0  1.0  0.35 G5 pt ab sp _neqc
03384 1250  5.0  1.0  0.55 G5 pt ab sp _neqc
03385 1250  5.0  1.0  0.71 G5 pt ab sp _neqc
03386 1250  5.0  1.0  0.72 G5 pt ab sp _neqc
03387 1250  5.0  1.0  0.73 G5 pt ab sp _neqc
03388 1250  5.0  1.0  0.74 G5 pt ab sp _neqc
03389 1250  5.0  1.0  0.75 G5 pt ab sp _neqc
03390 1250  5.0  1.0  0.70 G5 pt ab sp _neqc
03391 1250  5.0  1.0  0.85 G5 pt ab sp _neqc
03392 1250  5.0  1.0  0.91 G5 pt ab sp _neqc
03393 1250  5.0  1.0  0.92 G5 pt ab sp _neqc
03394 1250  5.0  1.0  0.93 G5 pt ab sp _neqc
03395 1250  5.0  1.0  0.94 G5 pt ab sp _neqc
03396 1250  5.0  1.0  0.95 G5 pt ab sp _neqc
03397 1250  5.0  1.0  0.90 G5 pt ab sp _neqc
03398 1250  5.0  1.0  1.05 G5 pt ab sp _neqc
03399 1250  5.0  1.0  1.00 G5 pt ab sp _neqc
03400 1250  5.0  1.0  1.12 G5 pt ab sp _neqc
03401 1250  5.0  1.0  1.40 G5 pt ab sp _neqc
03402 1250  5.0  2.0  0.35 G5 pt ab sp _neqc
03403 1250  5.0  2.0  0.55 G5 pt ab sp _neqc
03404 1250  5.0  2.0  0.71 G5 pt ab sp _neqc
03405 1250  5.0  2.0  0.72 G5 pt ab sp _neqc
03406 1250  5.0  2.0  0.73 G5 pt ab sp _neqc
03407 1250  5.0  2.0  0.74 G5 pt ab sp _neqc
03408 1250  5.0  2.0  0.75 G5 pt ab sp _neqc
03409 1250  5.0  2.0  0.70 G5 pt ab sp _neqc
03410 1250  5.0  2.0  0.85 G5 pt ab sp _neqc
03411 1250  5.0  2.0  0.91 G5 pt ab sp _neqc
03412 1250  5.0  2.0  0.92 G5 pt ab sp _neqc
03413 1250  5.0  2.0  0.93 G5 pt ab sp _neqc
03414 1250  5.0  2.0  0.94 G5 pt ab sp _neqc
03415 1250  5.0  2.0  0.95 G5 pt ab sp _neqc
03416 1250  5.0  2.0  0.90 G5 pt ab sp _neqc
03417 1250  5.0  2.0  1.05 G5 pt ab sp _neqc
03418 1250  5.0  2.0  1.00 G5 pt ab sp _neqc
03419 1250  5.0  2.0  1.12 G5 pt ab sp _neqc
03420 1250  5.0  2.0  1.40 G5 pt ab sp _neqc
03421 1500  2.3 -0.5  0.35 G5 pt ab sp 
03422 1500  2.3 -0.5  0.55 G5 pt ab sp 
03423 1500  2.3 -0.5  0.71 G5 pt ab sp 
03424 1500  2.3 -0.5  0.72 G5 pt ab sp 
